x,y,z
0.5488135,0.30764535,0.5352571
0.71518934,0.06200521,0.9040443
0.60276335,0.9887851,0.5023966
0.5448832,0.7190903,0.10087001
0.4236548,0.7575696,0.527582
0.6458941,0.2637581,0.7112289
0.4375872,0.8142321,0.31295428
0.891773,0.56902057,0.050325353
0.96366274,0.4594477,0.12328206
0.3834415,0.13070624,0.77969074
0.79172504,0.31822655,0.9480219
0.5288949,0.3471398,0.718186
0.56804454,0.049413946,0.75389355
0.92559665,0.96384525,0.10964897
0.071036056,0.96475065,0.6381499
0.0871293,0.1106671,0.28945068
0.020218397,0.33928815,0.361702
0.83261985,0.5634075,0.0031597763
0.77815676,0.48681864,0.04352426
0.87001216,0.5649233,0.7941941
0.9786183,0.8610538,0.77746826
0.7991586,0.8153713,0.5641194
0.46147937,0.41010138,0.38736776
0.7805292,0.5231058,0.34514564
0.11827443,0.18856047,0.41004103
0.639921,0.4560478,0.06705749
0.14335328,0.7624535,0.9735685
0.9446689,0.25340822,0.06405922
0.5218483,0.24580263,0.10844153
0.41466194,0.99679214,0.47859636
0.2645556,0.22599421,0.8714838
0.7742337,0.962532,0.9803097
0.45615032,0.24860248,0.6778074
0.56843394,0.7129898,0.87716067
0.0187898,0.044882383,0.2675764
0.6176355,0.6737293,0.61586976
0.6120957,0.4164338,0.44980162
0.616934,0.5136779,0.61761576
0.94374806,0.5106175,0.8028146
0.6818203,0.37990147,0.03813337
0.3595079,0.017947644,0.2964157
0.43703195,0.8077194,0.33406013
0.6976312,0.41246825,0.50907487
0.06022547,0.28481925,0.7450477
0.6667667,0.89542747,0.5930746
0.67063785,0.51598704,0.3436012
0.21038257,0.98335093,0.30266014
0.12892629,0.4560161,0.27967975
0.31542835,0.7113113,0.92107046
0.36371076,0.09003222,0.87532115
0.57019675,0.43287638,0.8413543
0.43860152,0.44482306,0.8704044
0.9883738,0.009236612,0.8213548
0.10204481,0.7657052,0.97830796
0.20887676,0.76299995,0.79855967
0.16130951,0.25428197,0.6771491
0.6531083,0.970055,0.43506256
0.2532916,0.8000746,0.947532
0.46631077,0.62622565,0.60888374
0.2444256,0.14620928,0.969798
0.15896958,0.4076213,0.0758816
0.11037514,0.1476307,0.04949169
0.6563296,0.19959818,0.7952277
0.13818295,0.24635951,0.21919861
0.19658236,0.33457577,0.33333957
0.36872518,0.5140023,0.22411007
0.82099324,0.77370477,0.046409108
0.09710128,0.6859344,0.73453486
0.8379449,0.21998572,0.19232567
0.09609841,0.05373762,0.8448246
0.97645944,0.2334049,0.8329868
0.4686512,0.073923305,0.80123174
0.9767611,0.79524535,0.65367067
0.6048455,0.06857374,0.3472458
0.7392636,0.73944086,0.46978232
0.039187793,0.72336376,0.10031207
0.28280696,0.33114454,0.19865379
0.12019656,0.6526707,0.608439
0.2961402,0.5067155,0.25289857
0.11872772,0.98232013,0.35457256
0.31798318,0.38084045,0.50367945
0.41426298,0.93465185,0.21011773
0.064147495,0.2893412,0.87380785
0.6924721,0.38288018,0.024744943
0.56660146,0.50157,0.6617556
0.2653895,0.6592763,0.9340398
0.5232481,0.20366168,0.4481543
0.09394051,0.9807689,0.65217733
0.5759465,0.9649369,0.17761123
0.9292962,0.6366036,0.30906707
0.31856894,0.44971088,0.9810522
0.6674104,0.5322285,0.6965136
0.13179787,0.6306141,0.9740995
0.7163272,0.6492418,0.46277195
0.2894061,0.9031389,0.37507358
0.18319136,0.6485195,0.83906484
0.5865129,0.9850578,0.56186616
0.020107547,0.6894446,0.5187339
0.82894003,0.53880686,0.7699894
0.004695476,0.14800243,0.6614982
0.6778165,0.6902439,0.57913005
0.27000797,0.47891262,0.5433098
0.735194,0.008364456,0.76886135
0.96218854,0.19519629,0.9708599
0.24875315,0.759263,0.30496648
0.57615733,0.83579874,0.67530966
0.5920419,0.84884745,0.22337143
0.5722519,0.59216887,0.744359
0.22308163,0.84214395,0.48892903
0.952749,0.4842584,0.3880584
0.44712538,0.53589267,0.886691
0.84640867,0.8960968,0.73350054
0.6994793,0.95355254,0.53682107
0.29743695,0.92835164,0.86580175
0.81379783,0.6351396,0.14591432
0.39650574,0.5344761,0.89764845
0.8811032,0.07290976,0.87863886
0.5812729,0.83011985,0.76680464
0.8817354,0.011059645,0.39979511
0.6925316,0.8170748,0.24851336
0.7252543,0.093634844,0.030435385
0.50132436,0.55971223,0.77255815
0.95608366,0.8280406,0.7395394
0.6439902,0.771375,0.5443428
0.42385504,0.51205397,0.82291794
0.6063932,0.2806749,0.97261965
0.019193199,0.34726772,0.9903615
0.30157483,0.6822523,0.6358931
0.66017354,0.5985858,0.15307912
0.2900776,0.10787961,0.3152347
0.6180154,0.71033406,0.25665054
0.4287687,0.26058564,0.33259302
0.13547407,0.8181759,0.49736118
0.29828233,0.089150734,0.6293289
0.5699649,0.121726334,0.63427925
0.59087276,0.2050559,0.8127301
0.57432526,0.6330006,0.31404757
0.6532008,0.8964065,0.9861333
